City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Yaan,NG,7.38,8.57,80.71,21,94,5.86,overcast clouds
118,Westport,US,41.14,-73.36,57.97,23,1,1.01,clear sky
119,Namibe,AO,-15.20,12.15,67.73,75,4,6.73,clear sky
120,Inhambane,MZ,-23.86,35.38,72.57,75,100,22.82,overcast clouds
121,Mecca,SA,21.43,39.83,72.9,76,100,3.67,overcast clouds
122,Cardonal,MX,20.60,-99.13,72.75,29,14,4.29,few clouds
123,Namatanai,PG,-3.67,152.43,80.83,82,52,3.87,moderate rain
124,Butaritari,KI,3.07,172.79,82.15,79,19,18.59,light rain
125,Albany,US,42.60,-73.97,48.29,45,68,11.18,broken clouds
126,Lorengau,PG,-2.02,147.27,80.33,83,100,9.55,overcast clouds
127,Xai-Xai,MZ,-25.05,33.64,71.53,61,100,20.92,overcast clouds
128,Masuguru,TZ,-11.37,38.42,78.51,72,84,6.11,broken clouds
129,Comodoro Rivadavia,AR,-45.87,-67.50,64.26,77,40,3.44,scattered clouds
130,Rio Gallegos,AR,-51.62,-69.22,62.65,59,40,6.91,scattered clouds
131,Shingu,JP,33.73,135.98,37.8,73,31,8.93,scattered clouds
132,Prachuap Khiri Khan,TH,12.22,99.75,74.7,67,100,3.62,overcast clouds
133,Lupiro,TZ,-8.38,36.67,73.8,88,66,5.82,broken clouds
134,Hovd,MN,48.01,91.64,9.27,68,100,4.41,overcast clouds
135,Mankera,PK,31.39,71.44,47.55,27,0,3.56,clear sky
136,Sal Rei,CV,16.18,-22.92,72.16,78,98,11.77,overcast clouds
137,Hilo,US,19.73,-155.09,82.27,36,75,13.8,broken clouds
138,Bethel,US,41.37,-73.41,55.76,27,1,3.0,clear sky
139,Coahuayana,MX,18.73,-103.68,89.08,52,97,6.13,overcast clouds
140,Agadez,NE,19.75,10.25,60.53,25,2,11.18,clear sky
141,Altea,ES,38.60,-0.05,57.58,81,97,11.23,overcast clouds
142,Puro,PH,12.48,123.38,78.76,88,100,6.53,overcast clouds
143,Ngaoundere,CM,7.32,13.58,68.25,33,36,4.92,scattered clouds
144,Samarai,PG,-10.62,150.67,80.96,84,71,11.68,broken clouds
145,Humaita,BR,-7.51,-63.02,76.06,97,100,1.88,overcast clouds
146,Torbay,CA,47.67,-52.73,33.76,97,90,39.12,snow
147,Los Llanos De Aridane,ES,28.66,-17.92,57.13,79,0,5.99,clear sky
148,Waverly,US,42.74,-84.62,39.33,62,1,3.44,clear sky
149,Upernavik,GL,72.79,-56.15,5.2,69,100,8.03,overcast clouds
150,Xinzhou,CN,38.41,112.73,21.27,32,0,2.35,clear sky
151,Keti Bandar,PK,24.14,67.45,62.04,21,3,12.37,clear sky
152,Magadan,RU,59.57,150.80,2.53,91,100,12.8,light snow
153,Saint-Georges,GD,12.06,-61.75,80.28,78,20,28.77,few clouds
154,Ayagoz,KZ,47.97,80.44,5.45,82,91,3.2,overcast clouds
155,Miri,MY,4.41,114.01,77.14,100,40,2.3,scattered clouds
156,Viedma,AR,-40.81,-63.00,82.2,35,89,21.3,overcast clouds
157,Mehamn,NO,71.04,27.85,32.18,93,75,18.41,light snow
158,Sitka,US,57.05,-135.33,35.49,69,90,5.75,light snow
159,Krasnoselkup,RU,65.70,82.47,-34.8,99,16,7.61,few clouds
160,Angoche,MZ,-16.23,39.91,79.0,82,100,7.27,overcast clouds
161,Coihaique,CL,-45.58,-72.07,85.95,28,75,4.61,broken clouds
162,Barcelos,PT,41.54,-8.62,50.85,64,36,4.76,scattered clouds
163,Konya,TR,38.17,32.50,29.68,83,56,5.73,broken clouds
164,Calvinia,ZA,-31.47,19.78,68.36,26,93,14.99,overcast clouds
165,Mogadishu,SO,2.04,45.34,79.95,82,69,18.66,broken clouds
166,Port Lincoln,AU,-34.73,135.87,62.42,77,3,7.36,clear sky
167,Bubaque,GW,11.28,-15.83,82.04,68,76,13.04,broken clouds
168,Evensk,RU,61.95,159.23,-10.26,79,100,5.93,overcast clouds
169,Takhatgarh,IN,25.33,73.00,51.26,26,0,7.11,clear sky
170,Hobart,AU,-42.88,147.33,71.11,51,0,3.0,clear sky
171,Sola,VU,-13.88,167.55,81.32,67,100,14.25,overcast clouds
172,Mlonggo,ID,-6.53,110.70,80.49,85,100,1.43,overcast clouds
173,San Cristobal,VE,7.77,-72.22,69.98,76,95,2.37,overcast clouds
174,Dikson,RU,73.51,80.55,-18.54,98,99,8.63,overcast clouds
175,Anadyr,RU,64.75,177.48,-16.01,82,100,13.0,overcast clouds
176,Bilma,NE,18.69,12.92,62.69,21,36,12.48,scattered clouds
177,Mankono,CI,8.06,-6.19,79.14,25,46,4.21,scattered clouds
178,Shahr-E Babak,IR,30.12,55.12,45.03,53,38,6.71,scattered clouds
179,Pevek,RU,69.70,170.31,-8.09,96,100,3.89,overcast clouds
180,Wattegama,LK,6.80,81.48,72.52,90,100,4.45,overcast clouds
181,Alofi,NU,-19.06,-169.92,84.09,74,18,10.36,light rain
182,Birnin Kebbi,NG,12.45,4.20,72.5,17,22,10.4,few clouds
183,Beringovskiy,RU,63.05,179.32,-2.38,96,100,18.66,light snow
184,Souillac,MU,-20.52,57.52,77.38,83,40,2.3,scattered clouds
185,Mahebourg,MU,-20.41,57.70,77.29,83,40,2.3,scattered clouds
186,Karlstad,SE,59.38,13.50,36.16,87,20,3.44,few clouds
187,North Bend,US,43.41,-124.22,50.86,95,1,8.05,clear sky
188,Dutse,NG,11.76,9.34,66.47,22,8,8.55,clear sky
