City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Souillac,MU,77.38,scattered clouds,-20.52,57.52,Bils' Villa
185,Mahebourg,MU,77.29,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
188,Dutse,NG,66.47,clear sky,11.76,9.34,Central Mosque Galamawa
190,Isangel,VU,80.71,broken clouds,-19.55,169.27,Tanna Lodge
193,Vinh,VN,66.97,overcast clouds,18.67,105.67,Hotels Shanghai
194,Kieta,PG,82.47,light rain,-6.22,155.63,Uruna Bay Retreat
196,Conceicao Do Araguaia,BR,79.02,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
197,Raga,SS,74.44,overcast clouds,8.46,25.68,
199,Puerto Madryn,AR,84.49,overcast clouds,-42.77,-65.04,Hotel Tolosa
200,Constitucion,CL,63.72,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
203,Itarema,BR,81.1,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
206,Clarence Town,AU,74.34,overcast clouds,-32.58,151.78,River Downs Cottage
207,Bo Phloi,TH,81.32,overcast clouds,14.32,99.52,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
208,Adrar,MR,69.55,overcast clouds,20.5,-10.07,
209,Avarua,CK,77.05,light rain,-21.21,-159.78,Paradise Inn
212,Mayo,US,61.14,clear sky,38.89,-76.51,Resorts Resource Group International
215,Katete,UG,62.76,overcast clouds,-0.78,29.75,
216,Banjar,ID,78.66,overcast clouds,-8.19,114.97,The Hamsa Resort
218,Oyem,GA,68.59,broken clouds,1.6,11.58,Commissariat de police
219,Port Elizabeth,ZA,64.69,broken clouds,-33.92,25.57,39 On Nile Guest House
222,Cabo San Lucas,MX,78.1,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
224,Kalabo,ZM,68.95,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
226,Buchanan,LR,78.76,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
228,Avera,US,69.71,overcast clouds,33.19,-82.53,
229,Oussouye,SN,77.18,broken clouds,12.48,-16.55,Auberge du Routard
238,Kalmunai,LK,75.99,overcast clouds,7.42,81.82,VS Villa
239,Galesong,ID,78.82,overcast clouds,-5.32,119.37,Sapriadi Appy
240,Dondo,MZ,73.45,overcast clouds,-19.61,34.74,Arco Iris
246,Otavi,,72.61,scattered clouds,-19.65,17.33,Otavi Hotel Grasdak
247,Rumonge,BI,71.24,overcast clouds,-3.97,29.44,Iratiro Tours
249,Umm Kaddadah,SD,64.08,overcast clouds,13.6,26.69,
251,Vanimo,PG,75.7,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
